# x; y; z; I; u; delta_u; U_prime
322.5;-130.55;27.02;10.17;6.56;2.73;0.67
322.5;-129.55;27.07;10.22;6.58;2.66;0.67
322.5;-128.54;27.12;10.35;6.38;2.59;0.66
322.5;-127.54;27.17;10.48;6.17;2.59;0.65
322.5;-126.54;27.23;10.48;6.17;2.59;0.65
322.5;-125.54;27.28;10.48;6.17;2.59;0.65
322.5;-124.54;27.33;10.48;6.17;2.48;0.65
322.5;-123.54;27.38;10.51;6.01;2.37;0.63
322.5;-122.54;27.44;10.54;5.85;2.37;0.62
322.5;-121.54;27.49;10.54;5.85;2.37;0.62
322.5;-120.54;27.54;10.54;5.85;2.37;0.62
322.5;-119.54;27.59;10.54;5.85;2.37;0.62
322.5;-118.54;27.65;10.54;5.73;2.17;0.6
322.5;-117.53;27.7;10.54;5.62;1.97;0.59
322.5;-116.53;27.75;10.54;5.62;1.97;0.59
322.5;-115.53;27.8;10.54;5.62;1.97;0.59
322.5;-114.53;27.86;10.59;5.56;1.97;0.59
322.5;-113.53;27.91;10.63;5.51;1.73;0.59
322.5;-112.53;27.96;10.63;5.51;1.5;0.59
322.5;-111.53;28.01;10.68;5.53;1.5;0.59
322.5;-110.53;28.07;10.73;5.56;1.5;0.6
322.5;-109.53;28.12;10.82;5.56;1.5;0.6
322.5;-108.53;28.17;10.92;5.57;1.44;0.61
322.5;-107.53;28.22;10.92;5.57;1.55;0.61
322.5;-106.53;28.28;10.92;5.57;1.67;0.61
322.5;-105.52;28.33;11.04;5.64;1.67;0.62
322.5;-104.52;28.38;11.15;5.7;1.77;0.64
322.5;-103.52;28.43;11.15;5.7;1.87;0.64
322.5;-102.52;28.48;11.15;5.7;1.87;0.64
322.5;-101.52;28.54;11.26;5.79;1.95;0.65
322.5;-100.52;28.59;11.37;5.89;2.03;0.67
322.5;-99.52;28.64;11.37;5.89;2.03;0.67
322.5;-98.52;28.69;11.37;5.89;2.09;0.67
322.5;-97.52;28.75;11.44;6.01;2.18;0.69
322.5;-96.52;28.8;11.51;6.12;2.23;0.7
322.5;-95.52;28.85;11.51;6.12;2.26;0.7
322.5;-94.51;28.9;11.51;6.12;2.3;0.7
322.5;-93.51;28.96;11.53;6.25;2.31;0.72
322.5;-92.51;29.01;11.56;6.4;2.32;0.74
322.5;-91.51;29.06;11.58;6.43;2.32;0.74
322.5;-90.51;29.11;11.54;6.56;2.32;0.76
322.5;-89.51;29.17;11.50;6.69;2.32;0.77
322.5;-88.51;29.22;11.50;6.69;2.32;0.77
322.5;-87.51;29.27;11.50;6.69;2.32;0.77
322.5;-86.51;29.32;11.41;6.82;2.3;0.78
322.5;-85.51;29.38;11.33;6.94;2.27;0.79
322.5;-84.51;29.43;11.33;6.94;2.26;0.79
322.5;-83.5;29.48;11.21;7.06;2.25;0.79
322.5;-82.5;29.53;11.10;7.18;2.25;0.8
322.5;-81.5;29.59;11.10;7.18;2.25;0.8
322.5;-80.5;29.64;10.99;7.28;2.19;0.8
322.5;-79.5;29.69;10.88;7.38;2.13;0.8
322.5;-78.5;29.74;10.88;7.38;2.13;0.8
322.5;-77.5;29.8;10.79;7.46;2.13;0.8
322.5;-76.5;29.85;10.71;7.54;2.03;0.81
322.5;-75.5;29.9;10.71;7.54;1.94;0.81
322.5;-74.5;29.95;10.67;7.59;1.94;0.81
322.5;-73.5;30;10.54;7.69;1.94;0.81
322.5;-72.49;30.06;10.45;7.73;1.82;0.81
322.5;-71.49;30.11;10.46;7.77;1.7;0.81
322.5;-70.49;30.16;10.48;7.8;1.7;0.82
322.5;-69.49;30.21;10.56;7.81;1.7;0.83
322.5;-68.49;30.27;10.64;7.83;1.57;0.83
